 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/5/31 10:58:14 ::1 GET /
 HTTP  2025/5/31 10:58:14 ::1 Returned 200 in 44 ms
 HTTP  2025/5/31 10:58:14 ::1 GET /styles.css
 HTTP  2025/5/31 10:58:14 ::1 Returned 200 in 5 ms
 HTTP  2025/5/31 10:58:14 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:58:14 ::1 GET /script.js
 HTTP  2025/5/31 10:58:14 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 10:58:14 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 10:59:06 ::1 GET /
 HTTP  2025/5/31 10:59:06 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 10:59:06 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:06 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:06 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:06 ::1 GET /script.js
 HTTP  2025/5/31 10:59:06 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:06 ::1 Returned 200 in 6 ms
 HTTP  2025/5/31 10:59:07 ::1 GET /
 HTTP  2025/5/31 10:59:07 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 10:59:07 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:07 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:07 ::1 GET /script.js
 HTTP  2025/5/31 10:59:07 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:07 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:07 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:08 ::1 GET /
 HTTP  2025/5/31 10:59:08 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:08 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:08 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:08 ::1 GET /script.js
 HTTP  2025/5/31 10:59:08 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:08 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 10:59:08 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:19 ::1 GET /
 HTTP  2025/5/31 10:59:19 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 10:59:19 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:19 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:19 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 10:59:19 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:19 ::1 GET /script.js
 HTTP  2025/5/31 10:59:19 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:20 ::1 GET /
 HTTP  2025/5/31 10:59:20 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:20 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:20 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:20 ::1 GET /script.js
 HTTP  2025/5/31 10:59:20 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:20 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 10:59:20 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:47 ::1 GET /
 HTTP  2025/5/31 10:59:47 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 10:59:47 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:47 ::1 Returned 200 in 3 ms
 HTTP  2025/5/31 10:59:47 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:47 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:47 ::1 GET /script.js
 HTTP  2025/5/31 10:59:47 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:48 ::1 GET /
 HTTP  2025/5/31 10:59:48 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:48 ::1 GET /styles.css
 HTTP  2025/5/31 10:59:48 ::1 GET /kexin.jpg
 HTTP  2025/5/31 10:59:48 ::1 GET /script.js
 HTTP  2025/5/31 10:59:48 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:48 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 10:59:48 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:00:17 ::1 GET /
 HTTP  2025/5/31 11:00:17 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 11:00:17 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:17 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:17 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:00:17 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:17 ::1 GET /script.js
 HTTP  2025/5/31 11:00:17 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:18 ::1 GET /
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:18 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:18 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:18 ::1 GET /script.js
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 11:00:18 ::1 GET /
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:18 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:18 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:18 ::1 GET /script.js
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:18 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:23 ::1 GET /
 HTTP  2025/5/31 11:00:23 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:23 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:23 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:23 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:23 ::1 GET /script.js
 HTTP  2025/5/31 11:00:23 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:23 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:00:24 ::1 GET /
 HTTP  2025/5/31 11:00:24 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:00:24 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:24 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:24 ::1 GET /script.js
 HTTP  2025/5/31 11:00:24 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:25 ::1 GET /
 HTTP  2025/5/31 11:00:25 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:25 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:25 ::1 Returned 200 in 2 ms
 HTTP  2025/5/31 11:00:25 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:25 ::1 GET /script.js
 HTTP  2025/5/31 11:00:25 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:25 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:26 ::1 GET /
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:26 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:26 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:26 ::1 GET /script.js
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:26 ::1 GET /
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:00:26 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:26 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:26 ::1 GET /script.js
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:26 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:27 ::1 GET /
 HTTP  2025/5/31 11:00:27 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:27 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:27 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:27 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:27 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:27 ::1 GET /script.js
 HTTP  2025/5/31 11:00:27 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:00:50 ::1 GET /
 HTTP  2025/5/31 11:00:50 ::1 Returned 304 in 11 ms
 HTTP  2025/5/31 11:00:50 ::1 GET /styles.css
 HTTP  2025/5/31 11:00:50 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:00:50 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:00:50 ::1 GET /script.js
 HTTP  2025/5/31 11:00:50 ::1 Returned 200 in 12 ms
 HTTP  2025/5/31 11:00:50 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:10:59 ::1 GET /
 HTTP  2025/5/31 11:10:59 ::1 Returned 200 in 37 ms
 HTTP  2025/5/31 11:10:59 ::1 GET /styles.css
 HTTP  2025/5/31 11:10:59 ::1 Returned 200 in 1 ms
 HTTP  2025/5/31 11:10:59 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:10:59 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:10:59 ::1 GET /script.js
 HTTP  2025/5/31 11:10:59 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 11:10:59 ::1 Returned 404 in 23 ms
 HTTP  2025/5/31 11:10:59 ::1 Returned 200 in 9 ms
 HTTP  2025/5/31 11:11:35 ::1 GET /
 HTTP  2025/5/31 11:11:35 ::1 Returned 200 in 27 ms
 HTTP  2025/5/31 11:11:35 ::1 GET /styles.css
 HTTP  2025/5/31 11:11:35 ::1 Returned 200 in 2 ms
 HTTP  2025/5/31 11:11:35 ::1 GET /script.js
 HTTP  2025/5/31 11:11:35 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:11:35 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:11:35 ::1 Returned 200 in 4 ms
 HTTP  2025/5/31 11:12:46 ::1 GET /
 HTTP  2025/5/31 11:12:46 ::1 Returned 200 in 2 ms
 HTTP  2025/5/31 11:12:46 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:12:46 ::1 GET /styles.css
 HTTP  2025/5/31 11:12:46 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:12:46 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:12:46 ::1 Returned 404 in 12 ms
 HTTP  2025/5/31 11:12:46 ::1 Returned 200 in 5 ms
 HTTP  2025/5/31 11:12:46 ::1 GET /script.js
 HTTP  2025/5/31 11:12:46 ::1 Returned 200 in 2 ms
 HTTP  2025/5/31 11:17:40 ::1 GET /
 HTTP  2025/5/31 11:17:40 ::1 Returned 200 in 18 ms
 HTTP  2025/5/31 11:17:40 ::1 GET /styles.css
 HTTP  2025/5/31 11:17:40 ::1 Returned 200 in 1 ms
 HTTP  2025/5/31 11:17:40 ::1 GET /yueyueqiang.jpg
 HTTP  2025/5/31 11:17:40 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:17:40 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:17:40 ::1 Returned 404 in 3 ms
 HTTP  2025/5/31 11:17:40 ::1 GET /script.js
 HTTP  2025/5/31 11:17:40 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:21:54 ::1 GET /
 HTTP  2025/5/31 11:21:54 ::1 Returned 200 in 11 ms
 HTTP  2025/5/31 11:21:54 ::1 GET /styles.css
 HTTP  2025/5/31 11:21:54 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:21:54 ::1 Returned 200 in 6 ms
 HTTP  2025/5/31 11:21:54 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:21:54 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:21:54 ::1 Returned 404 in 5 ms
 HTTP  2025/5/31 11:21:54 ::1 GET /script.js
 HTTP  2025/5/31 11:21:54 ::1 Returned 304 in 2 ms
 HTTP  2025/5/31 11:32:00 ::1 GET /
 HTTP  2025/5/31 11:32:00 ::1 Returned 200 in 20 ms
 HTTP  2025/5/31 11:32:00 ::1 GET /styles.css
 HTTP  2025/5/31 11:32:00 ::1 Returned 200 in 1 ms
 HTTP  2025/5/31 11:32:00 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:32:00 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:32:00 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:32:00 ::1 Returned 404 in 4 ms
 HTTP  2025/5/31 11:32:00 ::1 GET /script.js
 HTTP  2025/5/31 11:32:00 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:39:24 ::1 GET /
 HTTP  2025/5/31 11:39:24 ::1 Returned 200 in 26 ms
 HTTP  2025/5/31 11:39:24 ::1 GET /styles.css
 HTTP  2025/5/31 11:39:24 ::1 Returned 200 in 2 ms
 HTTP  2025/5/31 11:39:24 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:39:24 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:39:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:39:24 ::1 Returned 404 in 5 ms
 HTTP  2025/5/31 11:39:24 ::1 GET /script.js
 HTTP  2025/5/31 11:39:24 ::1 Returned 200 in 1 ms
 HTTP  2025/5/31 11:39:24 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:39:24 ::1 Returned 404 in 0 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 17 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /styles.css
 HTTP  2025/5/31 11:41:24 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:41:24 ::1 Returned 404 in 4 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /script.js
 HTTP  2025/5/31 11:41:24 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:41:24 ::1 Returned 200 in 4 ms
 HTTP  2025/5/31 11:41:24 ::1 Returned 404 in 5 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:41:24 ::1 GET /styles.css
 HTTP  2025/5/31 11:41:24 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:41:24 ::1 GET /script.js
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 6 ms
 HTTP  2025/5/31 11:41:24 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:41:24 ::1 Returned 404 in 9 ms
 HTTP  2025/5/31 11:42:35 ::1 GET /
 HTTP  2025/5/31 11:42:35 ::1 Returned 304 in 13 ms
 HTTP  2025/5/31 11:42:35 ::1 GET /styles.css
 HTTP  2025/5/31 11:42:35 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:42:35 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:42:35 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:42:35 ::1 Returned 304 in 3 ms
 HTTP  2025/5/31 11:42:35 ::1 Returned 404 in 6 ms
 HTTP  2025/5/31 11:42:35 ::1 GET /script.js
 HTTP  2025/5/31 11:42:35 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:43:38 ::1 GET /
 HTTP  2025/5/31 11:43:38 ::1 Returned 200 in 7 ms
 HTTP  2025/5/31 11:43:38 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.jpg
 HTTP  2025/5/31 11:43:38 ::1 GET /styles.css
 HTTP  2025/5/31 11:43:38 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:43:38 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:43:38 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:43:38 ::1 Returned 404 in 3 ms
 HTTP  2025/5/31 11:43:38 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:43:38 ::1 GET /script.js
 HTTP  2025/5/31 11:43:38 ::1 Returned 304 in 0 ms
 HTTP  2025/5/31 11:43:38 ::1 Returned 404 in 1 ms
 HTTP  2025/5/31 11:43:49 ::1 GET /
 HTTP  2025/5/31 11:43:49 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:43:49 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.jpg
 HTTP  2025/5/31 11:43:49 ::1 GET /styles.css
 HTTP  2025/5/31 11:43:49 ::1 GET /kexin.jpg
 HTTP  2025/5/31 11:43:49 ::1 Returned 304 in 1 ms
 HTTP  2025/5/31 11:43:49 ::1 Returned 304 in 5 ms
 HTTP  2025/5/31 11:43:49 ::1 GET /@%E8%B6%8A%E6%9D%A5%E8%B6%8A%E5%BC%BA.JPG
 HTTP  2025/5/31 11:43:49 ::1 GET /script.js
 HTTP  2025/5/31 11:43:49 ::1 Returned 404 in 9 ms
